Issue Type,Summary,Priority,Labels,Description
Bug,"Rules page crashes on load when packs contain null rule arrays",Highest,"trust,workflow-coherence,rules,live-clickthrough","Module: Rules\nImpact: Analysts cannot access rule authoring; page crashes before workflow starts.\nRepro: Open /rules; observe runtime error and blank page.\nExpected: Rules page should render and safely ignore non-rule packs.\nActual: UI throws TypeError on flatMap of undefined.\nAcceptance criteria:\n- Normalize API payloads before rendering (rules/tag_rules defaults to []).\n- Skip non-rule metadata packs or classify them separately.\n- Add rules-page error boundary with retry and diagnostics."
Bug,"Cases list and supporting endpoints return 500 in core queue workflow",Highest,"trust,workflow-coherence,cases,live-clickthrough","Module: Cases\nImpact: Queue triage unavailable; analysts cannot rely on list, views, or playbooks.\nRepro: Open /cases (tenant demo); network shows 500 on /v1/cases, /v1/case-views, /v1/cases/playbooks.\nExpected: Queue should load with healthy data or explicit degraded mode.\nActual: Generic 500 with no fallback path.\nAcceptance criteria:\n- Restore endpoint reliability for list, views, and playbooks.\n- Provide typed degraded-state UX with action guidance.\n- Include support correlation id in UI error panel."
Bug,"Case detail route fails with 500 for valid case ids",Highest,"trust,workflow-coherence,case-detail,live-clickthrough","Module: Case Detail\nImpact: Analysts cannot open case investigation workspace.\nRepro: Navigate to /cases/c1?tenant_id=demo; /v1/cases/c1 returns 500.\nExpected: Case detail loads or shows typed not-found/permission state.\nActual: Generic 500 Internal Server Error.\nAcceptance criteria:\n- Fix case retrieval for valid ids.\n- Map failures to typed states (not found, unauthorized, service unavailable).\n- Preserve breadcrumb navigation and user context on failure."
Bug,"Create Case fails with 500 and leaves modal in ambiguous state",Highest,"trust,workflow-coherence,cases-create,live-clickthrough","Module: Cases Create\nImpact: Analysts cannot create investigations; confidence drops due ambiguous write state.\nRepro: Open New Case, fill required fields, click Create Case; POST /v1/cases returns 500.\nExpected: Case created, or field-level validation / actionable error.\nActual: Generic error remains in modal.\nAcceptance criteria:\n- Restore create-case API success path.\n- Return structured errors (validation/system) and map to field/global messages.\n- Add idempotency token and duplicate-submit protection."
Bug,"Investigation case-context endpoints fail while chat still responds",High,"trust,workflow-coherence,investigation,grounding","Module: Investigation\nImpact: Copilot appears available but case grounding is missing; analyst may make decisions on weak context.\nRepro: Open /investigation?case_id=c1&tenant_id=demo; graph/decision-explanation return 500 while chat returns 200.\nExpected: System should clearly indicate ungrounded mode and disable case-dependent actions.\nActual: Chat continues with generic 500 banner.\nAcceptance criteria:\n- Add explicit grounding status badge (grounded/degraded/ungrounded).\n- Disable case-dependent quick actions when context fetch fails.\n- Show one consolidated case-context incident card with retry."
Bug,"Copilot responses often surface unverified claim trailer warnings",High,"trust,investigation,evidence-contract","Module: Investigation\nImpact: Analyst trust erodes when outputs are flagged unknown/unverified after generation.\nRepro: Send summary prompt; claim support panel reports missing/invalid structured trailer.\nExpected: Valid structured claim provenance for operational outputs.\nActual: Response rendered with unknown-source warnings.\nAcceptance criteria:\n- Enforce structured claim trailer contract server-side.\n- Fail closed for non-compliant responses in high-risk modes.\n- Add telemetry for claim-contract adherence rate."
Bug,"Sidebar case badge remains confidence signaling during backend failure",High,"trust,workflow-coherence,navigation","Module: Global Navigation\nImpact: Badge counts imply healthy queue when core APIs are failing.\nRepro: Observe sidebar 'Cases 3' while case APIs return 500.\nExpected: Badge should degrade or hide when source is unhealthy.\nActual: Static/confident badge displayed.\nAcceptance criteria:\n- Link badge state to live health signal.\n- Show degraded indicator and tooltip with data staleness.\n- Add freshness timestamp for queue counters."
Story,"Replace API-centric Investigation labels with analyst intent language",Medium,"workflow-coherence,investigation,ux-copy","Module: Investigation\nImpact: New users face engineering jargon and slower onboarding.\nRepro: Observe labels like endpoint names in controls.\nExpected: Workflow-oriented language (playbook, evidence check, context scope).\nActual: Internal endpoint phrasing shown in UI.\nAcceptance criteria:\n- Replace endpoint terms in primary controls.\n- Move technical text under advanced disclosure.\n- UX copy reviewed with risk ops stakeholder."
Story,"Progressively disclose preset catalog for first-run analysts",Medium,"workflow-coherence,investigation,onboarding","Module: Investigation\nImpact: Initial cognitive load is high due large preset inventory.\nRepro: Open Investigation and review preset area with many options.\nExpected: Starter set first, advanced presets later.\nActual: Broad catalog visible immediately.\nAcceptance criteria:\n- Add starter preset tier (top 5).\n- Group advanced presets behind expandable sections by job-to-be-done.\n- Persist user preference/last-used presets."
Story,"Standardize actionable error contract across Cases and Investigation",Medium,"trust,workflow-coherence,error-handling","Module: Cross-workflow\nImpact: Generic 500 errors force manual escalation and slow incident response.\nRepro: Trigger failed case endpoints; UI shows repeated generic 500.\nExpected: Errors include action guidance, retryability, and support context.\nActual: Generic system message.\nAcceptance criteria:\n- Shared error schema across APIs (code, message, retryable, support_id).\n- Unified frontend error renderer with remediation steps.\n- Alerting hooks for recurrent user-visible failures."
